__v,_id,countyName,district.districtName,district.id
0,628b6770cc425001e96c6532,Arraiolos,Évora,6287ecaa360c562985093e8a
0,628b6776cc425001e96c6535,Borba,Évora,6287ecaa360c562985093e8a
0,628b677bcc425001e96c6538,Estremoz,Évora,6287ecaa360c562985093e8a
0,628b6782cc425001e96c653b,Évora,Évora,6287ecaa360c562985093e8a
0,628b6789cc425001e96c653e,Montemor-o-Novo,Évora,6287ecaa360c562985093e8a
0,628b6791cc425001e96c6541,Mora,Évora,6287ecaa360c562985093e8a
0,628b6797cc425001e96c6544,Mourão,Évora,6287ecaa360c562985093e8a
0,628b679ecc425001e96c6547,Portel,Évora,6287ecaa360c562985093e8a
0,628b67a4cc425001e96c654a,Redondo,Évora,6287ecaa360c562985093e8a
0,628b67cacc425001e96c6552,Reguengos de Monsaraz,Évora,6287ecaa360c562985093e8a
0,628b67d3cc425001e96c6555,Vendas Novas,Évora,6287ecaa360c562985093e8a
0,628b67dccc425001e96c6558,Viana do Alentejo,Évora,6287ecaa360c562985093e8a
0,628b693b03a52f003a2bca7a,Vila Viçosa,Évora,6287ecaa360c562985093e8a
0,628b699303a52f003a2bca82,Albufeira,Faro,6287ecbdbe66266335f3c219
0,628b699803a52f003a2bca85,Alcoutim,Faro,6287ecbdbe66266335f3c219
0,628b699d03a52f003a2bca88,Aljezur,Faro,6287ecbdbe66266335f3c219
0,628b69a303a52f003a2bca8b,Castro Marim,Faro,6287ecbdbe66266335f3c219
0,628b69aa03a52f003a2bca8e,Faro,Faro,6287ecbdbe66266335f3c219
0,628b69b003a52f003a2bca91,Lagoa,Faro,6287ecbdbe66266335f3c219
0,628b69b603a52f003a2bca94,Lagos,Faro,6287ecbdbe66266335f3c219
0,628b69bc03a52f003a2bca97,Loulé,Faro,6287ecbdbe66266335f3c219
0,628b69c103a52f003a2bca9a,Monchique,Faro,6287ecbdbe66266335f3c219
0,628b69c603a52f003a2bca9d,Olhão,Faro,6287ecbdbe66266335f3c219
0,628b69cc03a52f003a2bcaa0,Portimão,Faro,6287ecbdbe66266335f3c219
0,628b69d403a52f003a2bcaa3,São Brás de Alportel,Faro,6287ecbdbe66266335f3c219
0,628b69db03a52f003a2bcaa6,Silves,Faro,6287ecbdbe66266335f3c219
0,628b69e103a52f003a2bcaa9,Tavira,Faro,6287ecbdbe66266335f3c219
0,628b69ef03a52f003a2bcaac,Vila do Bispo,Faro,6287ecbdbe66266335f3c219
0,628b69fd03a52f003a2bcaaf,Vila Real de Santo António,Faro,6287ecbdbe66266335f3c219
0,628b6a4503a52f003a2bcabf,Almeida,Guarda,6287ecc7be66266335f3c21b
0,628b6a4c03a52f003a2bcac2,Aguiar da Beira,Guarda,6287ecc7be66266335f3c21b
0,628b6a5403a52f003a2bcac5,Celorico da Beira,Guarda,6287ecc7be66266335f3c21b
0,628b6a5d03a52f003a2bcac8,Figueira de Castelo Rodrigo,Guarda,6287ecc7be66266335f3c21b
0,628b6a6903a52f003a2bcacb,Fornos de Algodres,Guarda,6287ecc7be66266335f3c21b
0,628b6a7103a52f003a2bcace,Guarda,Guarda,6287ecc7be66266335f3c21b
0,628b6a7b03a52f003a2bcad1,Gouveia,Guarda,6287ecc7be66266335f3c21b
0,628b6a8003a52f003a2bcad4,Manteigas,Guarda,6287ecc7be66266335f3c21b
0,628b6a8503a52f003a2bcad7,Mêda,Guarda,6287ecc7be66266335f3c21b
0,628b6a8a03a52f003a2bcada,Pinhel,Guarda,6287ecc7be66266335f3c21b
0,628b6a9003a52f003a2bcadd,Seia,Guarda,6287ecc7be66266335f3c21b
0,628b6a9603a52f003a2bcae0,Sabugal,Guarda,6287ecc7be66266335f3c21b
0,628b6aae03a52f003a2bcae8,Trancoso,Guarda,6287ecc7be66266335f3c21b
0,628b6ab603a52f003a2bcaeb,Vila Nova de Foz Coa,Guarda,6287ecc7be66266335f3c21b
0,628b6cfa7c37fd37a9fecd3a,Alcobaça,Leiria,6287ecccbe66266335f3c21d
0,628b6cff7c37fd37a9fecd3d,Alvaiázere,Leiria,6287ecccbe66266335f3c21d
0,628b6d047c37fd37a9fecd40,Ansião,Leiria,6287ecccbe66266335f3c21d
0,628b6d097c37fd37a9fecd43,Batalha,Leiria,6287ecccbe66266335f3c21d
0,628b6d187c37fd37a9fecd49,Bombarral,Leiria,6287ecccbe66266335f3c21d
0,628b6d1e7c37fd37a9fecd4c,Caldas da Rainha,Leiria,6287ecccbe66266335f3c21d
0,628b6d277c37fd37a9fecd4f,Castanheira de Pera,Leiria,6287ecccbe66266335f3c21d
0,628b6d327c37fd37a9fecd52,Figueiró dos Vinhos,Leiria,6287ecccbe66266335f3c21d
0,628b6d3a7c37fd37a9fecd55,Leiria,Leiria,6287ecccbe66266335f3c21d
0,628b6d417c37fd37a9fecd58,Marinha Grande,Leiria,6287ecccbe66266335f3c21d
0,628b6d487c37fd37a9fecd5b,Nazaré,Leiria,6287ecccbe66266335f3c21d
0,628b6d4d7c37fd37a9fecd5e,Óbidos,Leiria,6287ecccbe66266335f3c21d
0,628b6d567c37fd37a9fecd61,Pedrógão Grande,Leiria,6287ecccbe66266335f3c21d
0,628b6d5c7c37fd37a9fecd64,Peniche,Leiria,6287ecccbe66266335f3c21d
0,628b6d617c37fd37a9fecd67,Pombal,Leiria,6287ecccbe66266335f3c21d
0,628b6d677c37fd37a9fecd6a,Porto de Mós,Leiria,6287ecccbe66266335f3c21d
0,628b6db87c37fd37a9fecd70,Alenquer,Lisboa,6287ecd2be66266335f3c21f
0,628b6dc37c37fd37a9fecd73,Arruda dos Vinhos,Lisboa,6287ecd2be66266335f3c21f
0,628b6dca7c37fd37a9fecd76,Azambuja,Lisboa,6287ecd2be66266335f3c21f
0,628b6dd27c37fd37a9fecd79,Cadaval,Lisboa,6287ecd2be66266335f3c21f
0,628b6dd77c37fd37a9fecd7c,Cascais,Lisboa,6287ecd2be66266335f3c21f
0,628b6ddc7c37fd37a9fecd7f,Lisboa,Lisboa,6287ecd2be66266335f3c21f
0,628b6de27c37fd37a9fecd82,Loures,Lisboa,6287ecd2be66266335f3c21f
0,628b6de87c37fd37a9fecd85,Lourinhã,Lisboa,6287ecd2be66266335f3c21f
0,628b6df27c37fd37a9fecd88,Mafra,Lisboa,6287ecd2be66266335f3c21f
0,628b6df77c37fd37a9fecd8b,Odivelas,Lisboa,6287ecd2be66266335f3c21f
0,628b6dfc7c37fd37a9fecd8e,Oeiras,Lisboa,6287ecd2be66266335f3c21f
0,628b6e017c37fd37a9fecd91,Sintra,Lisboa,6287ecd2be66266335f3c21f
0,628b6e0a7c37fd37a9fecd94,Sobral de Monte Agraço,Lisboa,6287ecd2be66266335f3c21f
0,628b6e157c37fd37a9fecd97,Torres Vedras,Lisboa,6287ecd2be66266335f3c21f
0,628b6e1c7c37fd37a9fecd9a,Vila Franca de Xira,Lisboa,6287ecd2be66266335f3c21f
0,628b6e4e7c37fd37a9fecda0,Alter do Chão,Portalegre,6287ecddbe66266335f3c221
0,628b6e5a7c37fd37a9fecda3,Arronches,Portalegre,6287ecddbe66266335f3c221
0,628b6e607c37fd37a9fecda6,Avis,Portalegre,6287ecddbe66266335f3c221
0,628b6e667c37fd37a9fecda9,Campo Maior,Portalegre,6287ecddbe66266335f3c221
0,628b6e707c37fd37a9fecdac,Castelo de Vide,Portalegre,6287ecddbe66266335f3c221
0,628b6e767c37fd37a9fecdaf,Crato,Portalegre,6287ecddbe66266335f3c221
0,628b6e7c7c37fd37a9fecdb2,Elvas,Portalegre,6287ecddbe66266335f3c221
0,628b6e817c37fd37a9fecdb5,Fronteira,Portalegre,6287ecddbe66266335f3c221
0,628b6e877c37fd37a9fecdb8,Gavião,Portalegre,6287ecddbe66266335f3c221
0,628b6e8b7c37fd37a9fecdbb,Marvão,Portalegre,6287ecddbe66266335f3c221
0,628b6e927c37fd37a9fecdbe,Monforte,Portalegre,6287ecddbe66266335f3c221
0,628b6e977c37fd37a9fecdc1,Nisa,Portalegre,6287ecddbe66266335f3c221
0,628b6e9d7c37fd37a9fecdc4,Ponte de Sor,Portalegre,6287ecddbe66266335f3c221
0,628b6ea47c37fd37a9fecdc7,Portalegre,Portalegre,6287ecddbe66266335f3c221
0,628b6ea97c37fd37a9fecdca,Sousel,Portalegre,6287ecddbe66266335f3c221
0,628b6ec97c37fd37a9fecdd3,Amarante,Porto,6287ecedc644f131c0df96dd
0,628b6ece7c37fd37a9fecdd6,Baião,Porto,6287ecedc644f131c0df96dd
0,628b6ed27c37fd37a9fecdd9,Felgueiras,Porto,6287ecedc644f131c0df96dd
0,628b6ed87c37fd37a9fecddc,Gondomar,Porto,6287ecedc644f131c0df96dd
0,628b6edd7c37fd37a9fecddf,Lousada,Porto,6287ecedc644f131c0df96dd
0,628b6ee27c37fd37a9fecde2,Maia,Porto,6287ecedc644f131c0df96dd
0,628b6ee97c37fd37a9fecde5,Matosinhos,Porto,6287ecedc644f131c0df96dd
0,628b6ef07c37fd37a9fecde8,Marco de Canaveses,Porto,6287ecedc644f131c0df96dd
0,628b6efb7c37fd37a9fecdeb,Paços de Ferreira,Porto,6287ecedc644f131c0df96dd
0,628b6f027c37fd37a9fecdee,Paredes,Porto,6287ecedc644f131c0df96dd
0,628b6f077c37fd37a9fecdf1,Penafiel,Porto,6287ecedc644f131c0df96dd
0,628b6f0c7c37fd37a9fecdf4,Porto,Porto,6287ecedc644f131c0df96dd
